kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,optimized,64,0.1,8,0.0003742,1.40109,0,524288,49152,10.6667
csr,optimized,64,0.1,8,6.95667e-05,6.83914,9.08536e+10,475776,62764,7.5804
dense,optimized,64,0.1,16,0.0004193,1.25039,0,524288,49152,10.6667
csr,optimized,64,0.1,16,9.33667e-05,5.00119,9.25721e+10,466944,62212,7.50569
dense,optimized,64,0.2,1,0.000401733,1.30506,0,524288,49152,10.6667
csr,optimized,64,0.2,1,2.4e-05,17.6587,1.01994e+11,423808,59516,7.12091
dense,optimized,64,0.2,2,0.0004421,1.1859,0,524288,49152,10.6667
csr,optimized,64,0.2,2,3.06333e-05,13.8223,1.02087e+11,423424,59492,7.11733
dense,optimized,64,0.2,4,0.0004886,1.07304,0,524288,49152,10.6667
csr,optimized,64,0.2,4,3.95667e-05,10.6498,1.02583e+11,421376,59364,7.09817
dense,optimized,64,0.2,8,0.0004108,1.27626,0,524288,49152,10.6667
csr,optimized,64,0.2,8,7.95667e-05,5.28945,1.02708e+11,420864,59332,7.09337
dense,optimized,64,0.2,16,0.0004276,1.22612,0,524288,49152,10.6667
csr,optimized,64,0.2,16,8.49e-05,4.92551,1.03368e+11,418176,59164,7.06808
dense,optimized,64,0.5,1,0.000439433,1.1931,0,524288,49152,10.6667
csr,optimized,64,0.5,1,1.47667e-05,17.7611,1.64814e+11,262272,49420,5.307
dense,optimized,64,0.5,2,0.000412433,1.27121,0,524288,49152,10.6667
csr,optimized,64,0.5,2,3.57e-05,7.3107,1.65622e+11,260992,49340,5.28966
dense,optimized,64,0.5,4,0.000372067,1.40912,0,524288,49152,10.6667
csr,optimized,64,0.5,4,4.17667e-05,6.50931,1.58994e+11,271872,50020,5.43527
dense,optimized,64,0.5,8,0.0003848,1.36249,0,524288,49152,10.6667
csr,optimized,64,0.5,8,6.52e-05,4.11681,1.61041e+11,268416,49804,5.38945
dense,optimized,64,0.5,16,0.000436167,1.20204,0,524288,49152,10.6667
csr,optimized,64,0.5,16,8.43e-05,3.10662,1.65055e+11,261888,49396,5.30181
dense,optimized,128,0.001,1,0.0033437,1.25439,0,4194304,196608,21.3333
dense,optimized,128,0.001,2,0.0016129,2.60047,0,4194304,196608,21.3333
dense,optimized,128,0.001,4,0.00139933,2.99736,0,4194304,196608,21.3333
dense,optimized,128,0.001,8,0.00101733,4.12284,0,4194304,196608,21.3333
dense,optimized,128,0.001,16,0.0017423,2.40734,0,4194304,196608,21.3333
dense,optimized,128,0.005,1,0.00331767,1.26423,0,4194304,196608,21.3333
csr,optimized,128,0.005,1,0.000210333,19.8402,2.07167e+10,4173056,261996,15.9279
dense,optimized,128,0.005,2,0.0016391,2.55891,0,4194304,196608,21.3333
csr,optimized,128,0.005,2,0.0001549,26.9354,2.07206e+10,4172288,261972,15.9265
dense,optimized,128,0.005,4,0.00130443,3.21542,0,4194304,196608,21.3333
csr,optimized,128,0.005,4,0.000158867,26.2709,2.07142e+10,4173568,262012,15.9289
dense,optimized,128,0.005,8,0.000858133,4.88771,0,4194304,196608,21.3333
csr,optimized,128,0.005,8,0.0001668,25.003,2.07295e+10,4170496,261916,15.923
dense,optimized,128,0.005,16,0.0027007,1.55304,0,4194304,196608,21.3333
csr,optimized,128,0.005,16,0.000190067,21.9369,2.07346e+10,4169472,261884,15.9211
dense,optimized,128,0.01,1,0.00317487,1.3211,0,4194304,196608,21.3333
csr,optimized,128,0.01,1,0.0002115,19.6291,2.08241e+10,4151552,261324,15.8866
dense,optimized,128,0.01,2,0.00163633,2.56323,0,4194304,196608,21.3333
csr,optimized,128,0.01,2,0.000137633,30.1862,2.08087e+10,4154624,261420,15.8925
dense,optimized,128,0.01,4,0.00153653,2.72972,0,4194304,196608,21.3333
csr,optimized,128,0.01,4,0.000148367,28.0024,2.08087e+10,4154624,261420,15.8925
dense,optimized,128,0.01,8,0.000791567,5.29874,0,4194304,196608,21.3333
csr,optimized,128,0.01,8,0.000144967,28.6203,2.08369e+10,4148992,261244,15.8817
dense,optimized,128,0.01,16,0.00196647,2.13291,0,4194304,196608,21.3333
csr,optimized,128,0.01,16,0.000129767,31.9845,2.08292e+10,4150528,261292,15.8846
dense,optimized,128,0.02,1,0.00318653,1.31626,0,4194304,196608,21.3333
csr,optimized,128,0.02,1,0.0002061,19.9161,2.10617e+10,4104704,259860,15.7958
dense,optimized,128,0.02,2,0.00178983,2.3434,0,4194304,196608,21.3333
csr,optimized,128,0.02,2,0.000131333,31.2833,2.10421e+10,4108544,259980,15.8033
dense,optimized,128,0.02,4,0.001321,3.1751,0,4194304,196608,21.3333
csr,optimized,128,0.02,4,0.000142033,28.95,2.1025e+10,4111872,260084,15.8098
dense,optimized,128,0.02,8,0.0011156,3.75968,0,4194304,196608,21.3333
csr,optimized,128,0.02,8,0.000305633,13.4611,2.10133e+10,4114176,260156,15.8143
dense,optimized,128,0.02,16,0.00178407,2.35098,0,4194304,196608,21.3333
